品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
豐澤牌,FWAC10R23,U2-C230146,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,屈臣氏零售(香港),否
豐澤牌,FWAC08R23,U2-C230145,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,屈臣氏零售(香港),否
開利,CHK12VFP,U2-C230143,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12FBVXP,U2-C230142,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12EAVXP,U2-C230141,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12SBVXP,U2-C230140,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
白河馬,HIP09HK,U2-C230137,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,白河馬企業有限公司,是
白河馬,HIP07HK,U2-C230136,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,白河馬企業有限公司,是
格力,GWV63EG,U2-C230135,2020,1,669,6.63,4.7672,R32,不適用,—,—,—,太平家庭電器,是
樂信牌,RC-S24PG1,U2-C230122,2020,1,669,6.63,4.7672,R32,不適用,—,—,—,信興電工工程有限公司,是
開利,CHK21EAVXP-1,U2-C230115,2020,1,660,6.33,4.8351,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK21FBVXP-1,U2-C230114,2020,1,660,6.33,4.8351,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK18VF,U2-C230113,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12VF,U2-C230112,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK21SBVXP-1,U2-C230111,2020,1,660,6.33,4.8351,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK09VF,U2-C230110,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
開利,CHK07VF,U2-C230109,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
Comfee',CFW-18FF-H,U2-C230105,2020,3,830,5.38,3.2291,R32,不適用,—,—,—,東芝香港有限公司,否
Comfee',CFW-12FF-H,U2-C230104,2020,3,549,3.56,3.2432,R32,不適用,—,—,—,東芝香港有限公司,否
Comfee',CFW-09FF-H,U2-C230103,2020,3,396,2.75,3.3693,R32,不適用,—,—,—,東芝香港有限公司,否
Comfee',CFW-07FF-H,U2-C230102,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,東芝香港有限公司,否
開利,CHK18LAN,U2-C230097,2020,3,814,5.34,3.2764,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12LAN,U2-C230096,2020,3,542,3.52,3.2809,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK09LAN,U2-C230095,2020,3,394,2.73,3.4011,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07LAN,U2-C230094,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK18EAN,U2-C230093,2020,3,814,5.34,3.2764,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12EAN,U2-C230092,2020,3,538,3.54,3.3052,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK09EAN,U2-C230091,2020,3,397,2.75,3.3709,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07EAN,U2-C230090,2020,3,321,2.04,3.2284,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK18EAE,U2-C230089,2020,3,814,5.34,3.2764,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12EAE,U2-C230088,2020,3,538,3.54,3.3052,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK09LAE,U2-C230087,2020,3,394,2.73,3.4011,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07LAE,U2-C230086,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK09EAE,U2-C230085,2020,3,397,2.75,3.3709,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07EAE,U2-C230084,2020,3,321,2.04,3.2243,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
RYOBISHI,RB-24VA,U2-C230083,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-18VA,U2-C230082,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-12VA,U2-C230081,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-09VA,U2-C230080,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-07VA,U2-C230079,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,三菱電機,是
開利,CHK18LAE,U2-C230078,2020,3,814,5.34,3.2764,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12LAE,U2-C230077,2020,3,542,3.52,3.2809,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK21SBVXP,U2-C230066,2020,1,679,6.04,4.6929,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK21FBVXP,U2-C230065,2020,1,679,6.04,4.6929,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK21EAVXP,U2-C230064,2020,1,679,6.04,4.6929,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
樂信牌,RC-X18R,U2-C230063,2020,3,830,5.38,3.2291,R32,不適用,—,—,—,信興電工工程有限公司,否
樂信牌,RC-X12R,U2-C230062,2020,3,549,3.56,3.2432,R32,不適用,—,—,—,信興電工工程有限公司,否
樂信牌,RC-X9R,U2-C230061,2020,3,396,2.75,3.3693,R32,不適用,—,—,—,信興電工工程有限公司,否
樂信牌,RC-X7R,U2-C230060,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,信興電工工程有限公司,否
White-Westinghouse,WWN12CRA-D4,U2-C230053,2020,3,549,3.56,3.2432,R32,不適用,—,—,—,威榮電業有限公司,否
White-Westinghouse,WWN09CRA-D4,U2-C230052,2020,3,396,2.75,3.3693,R32,不適用,—,—,—,威榮電業有限公司,否
White-Westinghouse,WWN07CRA-D4,U2-C230051,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,威榮電業有限公司,否
White-Westinghouse,WWN21CRV,U2-C230050,2020,1,665,6.19,4.9001,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN12CRV,U2-C230049,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN09CRV,U2-C230048,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN09CMA-D4,U2-C230044,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,威榮電業有限公司,否
White-Westinghouse,WWN07CMA-D4,U2-C230043,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,威榮電業有限公司,否
White-Westinghouse,WWN07CRV,U2-C230042,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN18CRV,U2-C230041,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,威榮電業有限公司,是
大松,W24V5A,U2-C230040,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,宏俊有限公司,是
大松,W18V5A,U2-C230039,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,宏俊有限公司,是
大松,W12V5A,U2-C230038,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,宏俊有限公司,是
大松,W09V5A,U2-C230037,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,宏俊有限公司,是
大松,W07V5A,U2-C230036,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,宏俊有限公司,是
美的,MW-22CRF8D-1,U2-C230035,2020,1,673,6.33,4.8468,R32,不適用,—,—,—,美的電器(香港)有限公司,是
日立牌,RAW-XH24CA,U2-C230030,2020,1,699,6.49,4.5558,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
日立牌,RAW-XH18CA,U2-C230029,2020,1,545,5.33,4.7286,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-XH13CA,U2-C230028,2020,1,362,3.66,4.8952,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-XH10CA,U2-C230027,2020,1,276,2.50,4.5831,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-XH07CA,U2-C230026,2020,1,244,2.22,4.5493,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
飛歌,PVR21R,U2-C230025,2020,1,665,6.19,4.9001,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVR18R,U2-C230024,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVR12R,U2-C230023,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVR09R,U2-C230022,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVR07R,U2-C230021,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,太平家庭電器,是
Morita Denko,NMDWA18CRF8B,U2-C230020,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,美的電器(香港)有限公司,是
Morita Denko,NMDWA12CRF8B,U2-C230019,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,美的電器(香港)有限公司,是
Morita Denko,NMDWA09CRF8B,U2-C230018,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,美的電器(香港)有限公司,是
Morita Denko,NMDWA07CRF8B,U2-C230017,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,美的電器(香港)有限公司,是
Morita Denko,NMDWA18CM8C,U2-C230016,2020,3,823,5.35,3.2561,R32,不適用,—,—,—,美的電器(香港)有限公司,否
Morita Denko,NMDWA12CM8C,U2-C230015,2020,3,546,3.56,3.2599,R32,不適用,—,—,—,美的電器(香港)有限公司,否
Morita Denko,NMDWA09CM8C,U2-C230014,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,美的電器(香港)有限公司,否
Morita Denko,NMDWA07CM8C,U2-C230013,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,美的電器(香港)有限公司,否
樂信牌,RC-S24HR,U2-C230010,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S18HR,U2-C230009,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S12HR,U2-C230008,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S9HR,U2-C230007,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S7HR,U2-C230006,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S24PG,U2-C230005,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S18PG,U2-C230004,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S12PG,U2-C230003,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S9PG,U2-C230002,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S7PG,U2-C230001,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,信興電工工程有限公司,是
金章牌,ZWACR2123V,U2-C220269,2020,1,665,6.19,4.9001,R32,不適用,—,—,—,大昌貿易行有限公司,是
金章牌,ZWACR1823V,U2-C220268,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,大昌貿易行有限公司,是
金章牌,ZWACR1223V,U2-C220267,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,大昌貿易行有限公司,是
金章牌,ZWACR0923V,U2-C220266,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,大昌貿易行有限公司,是
金章牌,ZWACR0723V,U2-C220265,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,大昌貿易行有限公司,是
伊萊克斯,EWV215CR1WA,U2-C220264,2020,1,665,6.19,4.9001,R32,不適用,—,—,—,大昌貿易行有限公司,是
伊萊克斯,EWV185CR1WA,U2-C220263,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,大昌貿易行有限公司,是
伊萊克斯,EWV125CR1WA,U2-C220262,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,大昌貿易行有限公司,是
伊萊克斯,EWV095CR1WA,U2-C220261,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,大昌貿易行有限公司,是
伊萊克斯,EWV075CR1WA,U2-C220260,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,大昌貿易行有限公司,是
東芝,RAC-07G3CVRG-HK,U2-C220259,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-09G3CVRGR-HK,U2-C220258,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-07G3CVRGR-HK,U2-C220257,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-09G3CVG-HK,U2-C220256,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-07G3CVG-HK,U2-C220255,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,東芝香港有限公司,是
三菱重工,WRK20MEC1,U2-C220254,2020,1,240,2.27,4.7529,R32,不適用,—,—,—,三菱重工業(香港)有限公司冷熱事業部,是
東芝,RAC-18G3CVRGR-HK,U2-C220250,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-12G3CVRGR-HK,U2-C220249,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-18G3CVG-HK,U2-C220248,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-12G3CVG-HK,U2-C220247,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,東芝香港有限公司,是
三菱重工,WRK53MEC1,U2-C220242,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,三菱重工業(香港)有限公司冷熱事業部,是
三菱重工,WRK35MEC1,U2-C220241,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,三菱重工業(香港)有限公司冷熱事業部,是
三菱重工,WRK26MEC1,U2-C220240,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,三菱重工業(香港)有限公司冷熱事業部,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
格力,GWV70EG,U2-C220238,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,太平家庭電器,是
格力,GWV53EG,U2-C220237,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,太平家庭電器,是
格力,GWV35EG,U2-C220236,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,太平家庭電器,是
格力,GWV26EG,U2-C220235,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,太平家庭電器,是
格力,GWV20EG,U2-C220234,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,太平家庭電器,是
美的,MW-12CRF8C,U2-C220233,2020,1,370,3.64,4.8040,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-18CR8C,U2-C220232,2020,3,830,5.38,3.2291,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-12CR8C,U2-C220231,2020,3,549,3.56,3.2432,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-09CR8C,U2-C220230,2020,3,396,2.75,3.3693,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-07CR8C,U2-C220229,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-18CM8C,U2-C220228,2020,3,823,5.35,3.2561,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-12CM8C,U2-C220227,2020,3,546,3.56,3.2599,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-09CM8C,U2-C220226,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-07CM8C,U2-C220225,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,美的電器(香港)有限公司,否
美的,MW-22CRF8D,U2-C220223,2020,1,665,6.19,4.9001,R32,不適用,—,—,—,美的電器(香港)有限公司,是
金田,KA-W182M,U2-C220222,2020,4,860,5.26,3.0272,R410A,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W122M,U2-C220221,2020,4,563,3.43,3.0530,R410A,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W092M,U2-C220220,2020,4,430,2.64,3.0343,R410A,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W072M,U2-C220219,2020,4,345,2.22,3.0441,R410A,不適用,—,—,—,金田貿易有限公司,否
約克,YC-24XA-R,U2-C220218,2020,2,798,6.66,3.9925,R410A,不適用,—,—,—,江森自控日立空調貿易（香港）有限公司,是
約克,YC-18XA-R,U2-C220217,2020,2,600,5.28,4.2944,R410A,不適用,—,—,—,江森自控日立空調貿易（香港）有限公司,是
約克,YC-12XA-R,U2-C220216,2020,2,443,3.56,3.9990,R410A,不適用,—,—,—,江森自控日立空調貿易（香港）有限公司,是
約克,YC-9XA-R,U2-C220215,2020,2,338,2.57,3.7364,R410A,不適用,—,—,—,江森自控日立空調貿易（香港）有限公司,是
約克,YC-7XA-R,U2-C220214,2020,2,280,2.25,3.8858,R410A,不適用,—,—,—,江森自控日立空調貿易（香港）有限公司,是
樂信牌,RC-S240U,U2-C220205,2020,2,757,6.15,4.3040,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S180U,U2-C220204,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S120U,U2-C220203,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S90U,U2-C220202,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S70U,U2-C220201,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,信興電工工程有限公司,是
開利,CHK21SBVX,U2-C220196,2020,2,726,6.15,4.2761,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK18SBVX,U2-C220195,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12SBVX,U2-C220194,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK09SBVX,U2-C220193,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK07SBVX,U2-C220192,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK18FBVX,U2-C220191,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK12FBVX,U2-C220190,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK09FBVX,U2-C220189,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK07FBVX,U2-C220188,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-21BVX,U2-C220187,2020,2,726,6.15,4.2761,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-12BVX,U2-C220185,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-09BVX,U2-C220184,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-07BVX,U2-C220183,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-21AVX,U2-C220182,2020,2,726,6.15,4.2761,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-18AVX,U2-C220181,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-12AVX,U2-C220180,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-09AVX,U2-C220179,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-07AVX,U2-C220178,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-21OBVX,U2-C220177,2020,2,726,6.15,4.2761,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-18OBVX,U2-C220176,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-12OBVX,U2-C220175,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
肯特,TA-09OBVX,U2-C220174,2020,1,276,2.67,4.8294,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
肯特,TA-07OBVX,U2-C220173,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
LG,W3NQ08UNNP2,U2-C220170,2020,2,272,2.36,4.3603,R32,不適用,—,—,—,LG Electronics HK Ltd,是
格力,GWF24DB,U2-C220169,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,太平家庭電器,是
格力,GWF18DB,U2-C220168,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,太平家庭電器,是
格力,GWF12DB,U2-C220167,2020,1,365,3.62,4.8539,R32,不適用,—,—,—,太平家庭電器,是
格力,GWF09DB,U2-C220166,2020,1,272,2.57,4.6497,R32,不適用,—,—,—,太平家庭電器,是
格力,GWF07DB,U2-C220165,2020,1,243,2.25,4.5738,R32,不適用,—,—,—,太平家庭電器,是
珍寶,ALWB24NIC,U2-C220162,2020,1,706,6.33,4.5137,R32,不適用,—,—,—,第一電業有限公司,是
珍寶,AFWB18NIC,U2-C220161,2020,1,544,5.33,4.7382,R32,不適用,—,—,—,第一電業有限公司,是
開利,CHK12EAVX,U2-C220160,2020,2,418,3.46,4.2367,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK09EAVX,U2-C220159,2020,1,276,2.67,4.8290,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK07EAVX,U2-C220158,2020,1,237,2.27,4.7631,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
美的,MW-22CRF8C,U2-C220157,2020,2,757,6.15,4.3040,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-18CRF8C,U2-C220156,2020,1,557,5.26,4.7872,R32,不適用,—,—,—,美的電器(香港)有限公司,是
珍寶,AMWB12NIC,U2-C220149,2020,1,361,3.59,4.8987,R32,不適用,—,—,—,第一電業有限公司,是
珍寶,AKWB9NIC,U2-C220148,2020,1,260,2.60,4.8547,R32,不適用,—,—,—,第一電業有限公司,是
珍寶,AKWB7NIC,U2-C220147,2020,1,228,2.32,4.8897,R32,不適用,—,—,—,第一電業有限公司,是
富士電機,RMB12GPTN,U2-C220146,2020,4,555,3.60,3.0975,R410A,不適用,—,—,—,第一電業有限公司,否
富士電機,RKB09GPTN,U2-C220145,2020,4,424,2.64,3.0381,R410A,不適用,—,—,—,第一電業有限公司,否
富士電機,RKB07GPTN,U2-C220144,2020,4,351,2.31,3.1234,R410A,不適用,—,—,—,第一電業有限公司,否
美的,MW-12CRF8B,U2-C220143,2020,2,420,3.44,4.2380,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-09CRF8B,U2-C220142,2020,1,290,2.57,4.5994,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-07CRF8B,U2-C220141,2020,1,240,2.27,4.7701,R32,不適用,—,—,—,美的電器(香港)有限公司,是
開利,CHK21EAVX,U2-C220140,2020,2,726,6.15,4.2761,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK18EAVX,U2-C220139,2020,1,546,5.30,4.7731,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK18FTE,U2-C220138,2020,4,852,5.27,3.1305,R410A,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12FTE,U2-C220137,2020,3,559,3.49,3.1787,R410A,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK09FTE,U2-C220136,2020,4,422,2.56,3.0941,R410A,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07FTE,U2-C220135,2020,4,357,2.13,2.9889,R410A,不適用,—,—,—,世紀開利家用空調有限公司,否
金章牌,ZWACR1822,U2-C220134,2020,4,881,5.16,3.0420,R410A,不適用,—,—,—,大昌貿易行有限公司,否
金章牌,ZWACR1222,U2-C220133,2020,4,579,3.51,3.0537,R410A,不適用,—,—,—,大昌貿易行有限公司,否
金章牌,ZWACR0922,U2-C220132,2020,4,439,2.64,3.0437,R410A,不適用,—,—,—,大昌貿易行有限公司,否
金章牌,ZWACR0722,U2-C220131,2020,4,345,2.25,3.1473,R410A,不適用,—,—,—,大昌貿易行有限公司,否
金章牌,ZWACM0922,U2-C220130,2020,4,439,2.64,3.0437,R410A,不適用,—,—,—,大昌貿易行有限公司,否
金章牌,ZWACM0722,U2-C220129,2020,4,345,2.25,3.1473,R410A,不適用,—,—,—,大昌貿易行有限公司,否
珍寶,AMWA12GBT,U2-C220120,2020,4,555,3.60,3.0975,R410A,不適用,—,—,—,第一電業有限公司,否
珍寶,AKWA9GNR,U2-C220119,2020,4,424,2.64,3.0381,R410A,不適用,—,—,—,第一電業有限公司,否
珍寶,AKWA7GNR,U2-C220118,2020,4,351,2.31,3.1234,R410A,不適用,—,—,—,第一電業有限公司,否
韓國現代,AC24CR,U2-C220114,2020,4,1071,6.70,3.0695,R410A,不適用,—,—,—,數碼港科技有限公司,否
