# 要求（必須遵守）：
# 1. price_low / price_high 只填整數港元，唔好有 $ 或逗號（例：2500）
# 2. 只搜「冷氣機」本體價格；遙控器、濾網、安裝費一律忽略
# 3. 得一個價錢時 price_low = price_high
# 4. 搜唔到可靠資料就留空——嚴禁估計、嚴禁填舊資料當新價
# 5. source 填實際參考網站名（BigGo / Price.com.hk / 豐澤 / HKTVmall 等），搜唔到留空
"# 6. 輸出 CSV：brand,model,price_low,price_high,source（唔好省略任何一行）"
brand,model
北極,FWA2118R
北極,FWA2112R
RYOBISHI,RB-24MC
RYOBISHI,RB-18MC
RYOBISHI,RB-12MC
RYOBISHI,RB-09MC
RYOBISHI,RB-07MC
RYOBISHI,RB-24CC
RYOBISHI,RB-18CC
RYOBISHI,RB-12CC
RYOBISHI,RB-09CC
RYOBISHI,RB-07CC
Gree 格力,GWA2124BR
Gree 格力,GWA2118BR
Gree 格力,GWA2112BR
Gree 格力,GWA2109BR
Gree 格力,GWA2107BR
Gree 格力,GWA2124BM
Gree 格力,GWA2118BM
Gree 格力,GWA2112BM
Gree 格力,GWA2109BM
Gree 格力,GWA2107BM
HITACHI 日立,RA-13RF
Rasonic 樂信,RC-X18H
Rasonic 樂信,RC-X12H
Carrier 開利,CHK12EPG
Carrier 開利,CHK23EPG
LG,W3NQ12LNNP1
LG,W3NQ10UNNP1
LG,W3NQ08UNNP1
RYOBISHI,RB-24MB
RYOBISHI,RB-18MB
RYOBISHI,RB-12MB
RYOBISHI,RB-09MB
RYOBISHI,RB-07MB
RYOBISHI,RB-24CB
RYOBISHI,RB-18CB
RYOBISHI,RB-12CB
RYOBISHI,RB-09CB
RYOBISHI,RB-07CB
Rasonic 樂信,RC-X9T
Gree 格力,G2024BM
Gree 格力,G2018BR
Gree 格力,G2018BM
Gree 格力,G2012BR
Gree 格力,G2012BM
Gree 格力,G2007BR
Gree 格力,G2007BM
Gree 格力,G2009BR
Gree 格力,G2009BM
飛歌,PWV2018R
飛歌,PWV2012R
飛歌,PWV2009R
飛歌,PWV2007R
飛歌,PWV2024M
飛歌,PWV2018M
飛歌,PWV2012M
飛歌,PWV2009M
飛歌,PWV2007M
Rasonic 樂信,RC-HZ90Y
Rasonic 樂信,RC-HZ70Y
Rasonic 樂信,RC-X9H
Rasonic 樂信,RC-X7H
Rasonic 樂信,RC-X9U
Rasonic 樂信,RC-X7U
Midea 美的,MWH-12HR3U1
Midea 美的,MWH-09HR3U1
Rasonic 樂信,RC-HZ180Y
Rasonic 樂信,RC-HZ120Y
Rasonic 樂信,RC-N2419E
Rasonic 樂信,RC-XN2419E
Rasonic 樂信,RC-XN1819E
Rasonic 樂信,RC-XN1219V
Rasonic 樂信,RC-XN919J
Rasonic 樂信,RC-XN719J
Rasonic 樂信,RC-N1819E
Rasonic 樂信,RC-N1219V
Rasonic 樂信,RC-N919J
Rasonic 樂信,RC-N719J
Carrier 開利,CHK12HPE
Carrier 開利,CHK09HPE
Carrier 開利,CHK07SNE
冰雪,FR-E18
冰雪,FR-E12
冰雪,FR-E9
冰雪,FR-E7
Rasonic 樂信,RC-X18
Rasonic 樂信,RC-X12
Carrier 開利,CHK18SNE
Carrier 開利,CHK12SNE
Carrier 開利,CHK09SNE
Carrier 開利,CHK18FPE
Carrier 開利,CHK12FPE
Carrier 開利,CHK09FPE
Carrier 開利,CHK07FPE
Carrier 開利,CHK23EPE
Carrier 開利,CHK18EPE
Carrier 開利,CHK12EPE
Carrier 開利,CHK09EPE
Carrier 開利,CHK07EPE
Carrier 開利,CHK23LPE
Carrier 開利,CHK18LPE
Carrier 開利,CHK12LPE
Carrier 開利,CHK09LPE
Carrier 開利,CHK07LPE
FORTRESS 豐澤牌,FWAD19M18
FORTRESS 豐澤牌,FWAD10M18
Rasonic 樂信,RC-X7T
FUJI 富士,RFR18FNTN
FUJI 富士,RMR12FPTN
FORTRESS 豐澤牌,FWAC19M18
FORTRESS 豐澤牌,FWAC13M18
小天鵝,SWH-18F3X1
小天鵝,SWH-12F3X1
小天鵝,SWH-09F3X1
小天鵝,SWH-07F3X1
FORTRESS 豐澤牌,FWAC08M18
Rasonic 樂信,RC-X9
Rasonic 樂信,RC-X7
ELECTROLUX 伊萊克斯,EWN09CMC-D5
ELECTROLUX 伊萊克斯,EWN18CRC-D5
ELECTROLUX 伊萊克斯,EWN12CRC-D5
ELECTROLUX 伊萊克斯,EWN07CMC-D5
ELECTROLUX 伊萊克斯,EWN09CRC-D5
ELECTROLUX 伊萊克斯,EWN07CRC-D5
RYOBISHI,RB-24MA
RYOBISHI,RB-18MA
RYOBISHI,RB-12MA
RYOBISHI,RB-09MA
RYOBISHI,RB-07MA
RYOBISHI,RB-24CA
RYOBISHI,RB-18CA
RYOBISHI,RB-12CA
RYOBISHI,RB-09CA
RYOBISHI,RB-07CA
CANOPUS 肯特,TA-18EAE
CANOPUS 肯特,TA-12EAE
CANOPUS 肯特,TA-09EAE
CANOPUS 肯特,TA-07EAE
Carrier 開利,CHK23LNE
Carrier 開利,CHK18LNE
Carrier 開利,CHK12LNE
Carrier 開利,CHK09LNE
Carrier 開利,CHK23ENE
Carrier 開利,CHK18ENE
Carrier 開利,CHK12ENE
Carrier 開利,CHK07ENE
Carrier 開利,CHK09ENE
Carrier 開利,CHK07LNE
Midea 美的,MWH-12CM3X1
Midea 美的,MWH-18CM3X1
Midea 美的,MWH-09CM3X1
Midea 美的,MWH-07CM3X1
Gree 格力,G1818VR
Gree 格力,G1812VR
Gree 格力,G1809VR
Gree 格力,G1807VR
Gree 格力,G1824VM
Gree 格力,G1818VM
Gree 格力,G1812VM
Gree 格力,G1809VM
Gree 格力,G1807VM
YORK 約克,YC-24GB-R
YORK 約克,YC-24GB
YORK 約克,YC-18GB-R
YORK 約克,YC-18GB
YORK 約克,YC-12GB-R
YORK 約克,YC-12GB
YORK 約克,YC-9GB-R
YORK 約克,YC-9GB
YORK 約克,YC-7GB-R
YORK 約克,YC-7GB
CANOPUS 肯特,TA-18CRE
CANOPUS 肯特,TA-18CAE
CANOPUS 肯特,TA-12CRE
CANOPUS 肯特,TA-12CAE
Carrier 開利,CHK18LKE
Carrier 開利,CHK12LKE
CANOPUS 肯特,TA-09CRE
CANOPUS 肯特,TA-09CAE
CANOPUS 肯特,TA-07CRE
CANOPUS 肯特,TA-07CAE
Carrier 開利,CHK23LKE
Carrier 開利,CHK09LKE
Carrier 開利,CHK07LKE
奧瑪,GAC-W12R
奧瑪,GAC-W09R
奧瑪,GAC-W07R
奧瑪,GAC-W18
奧瑪,GAC-W12
奧瑪,GAC-W09
奧瑪,GAC-W07
FUJI 富士,RFA18FNTN
卓爾,WAC-S1206R
卓爾,WAC-S906R
卓爾,WAC-S706R
卓爾,WAC-S1805
卓爾,WAC-S1205
卓爾,WAC-S905
卓爾,WAC-S705
快意寶,W126R-PAC
快意寶,W096R-PAC
快意寶,W076R-PAC
快意寶,W185-PAC
快意寶,W125-PAC
快意寶,W095-PAC
快意寶,W075-PAC
BNO,ACR-B112
BNO,ACR-B109
BNO,ACR-B107
BNO,AC-B18
BNO,AC-B12
BNO,AC-B09
BNO,AC-B07
小天鵝,SWH-24F3U1
Midea 美的,MWH-24CM3U1
WHITE-WESTINGHOUSE,WWN18CRA-D3
WHITE-WESTINGHOUSE,WWN12CRA-D3
WHITE-WESTINGHOUSE,WWN09CRA-D3
WHITE-WESTINGHOUSE,WWN07CRA-D3
WHITE-WESTINGHOUSE,WWN18CMA-D3
WHITE-WESTINGHOUSE,WWN12CMA-D3
WHITE-WESTINGHOUSE,WWN09CMA-D3
WHITE-WESTINGHOUSE,WWN07CMA-D3
Midea 美的,MWH-18CR3U1
Midea 美的,MWH-12CR3U1
Midea 美的,MWH-09CR3U1
Midea 美的,MWH-07CR3U1
General 珍寶,AFWA17FAT
TCL,TAC-BR18CSV/TA
TCL,TAC-BR12CSV/TA
TCL,TAC-BR09CSV/TA
MECAN,MCH024WMIPN/MCH024WMOPN
MECAN,MCH024WMIP/MCH024WMOP
MECAN,MCH018WMIP/MCH018WMOP
MECAN,MCH009WMIP/MCH009WMOP
MECAN,MCH012WMIP/MCH012WMOP
Gree 格力,GEC63ZE/GEC63ZC
Gree 格力,GEC53ZE/GEC53ZC
Gree 格力,GEC35ZE/GEC35ZC
Gree 格力,GEC26ZE/GEC26ZC
MECAN,MC024WMIP/MC024WMOP
MECAN,MC018WMIP/MC018WMOP
MECAN,MC012WMIP/MC012WMOP
MECAN,MC009WMIP/MC009WMOP
mijia,ASH-12WO/N2C2-HK
mijia,ASH-09WO/N2C2-HK
白河馬,WHS24MC/WHO24MC
白河馬,WHS18MC/WHO18MC
白河馬,WHS12MC/WHO12MC
白河馬,WHS09MC/WHO09MC
海迅,HQS024KBB/HQS024KBBA
海迅,HQS018KBB/HQS018KBBA
海迅,HQS012KBB/HQS012KBBA
海迅,HQS009KBB/HQS009KBBA
CANOPUS 肯特,TA-HGQ22VW/TA-HGQ22VC
Carrier 開利,42HMC12VW/36HMC12VC
AUX 奧克斯,ASW-24G3/CAR3
AUX 奧克斯,ASW-24G2/CDR3
AUX 奧克斯,ASW-18E4/CDR3
AUX 奧克斯,ASW-18E3/CAR3
AUX 奧克斯,ASW-09B6/CDR3
CANOPUS 肯特,TA-HGQ18VW/TA-HGQ18VC
CANOPUS 肯特,TA-HGQ12VW/TA-HGQ12VC
CANOPUS 肯特,TA-HGC22VW/TA-HGC22VC
CANOPUS 肯特,TA-HGC18VW/TA-HGC18VC
CANOPUS 肯特,TA-HGC12VW/TA-HGC12VC
CANOPUS 肯特,TA-HGC09VW/TA-HGC09VC
PHILIPS 飛利浦,FAC24CD-Cb5KBA1H
PHILIPS 飛利浦,FAC18CD-Cb5KBA1H
CANOPUS 肯特,TA-HGQ09VW/TA-HGQ09VC
Carrier 開利,42HMQ22VW/36HMQ22VC
Carrier 開利,42HMQ18VW/36HMQ18VC
Carrier 開利,42HMQ12VW/36HMQ12VC
Carrier 開利,42HMQ09VW/36HMQ09VC
Carrier 開利,42HMC22VW/36HMC22VC
Carrier 開利,42HMC18VW/36HMC18VC
Carrier 開利,42HMC09VW/36HMC09VC
PHILIPS 飛利浦,FAC12CB-Cb5KBA2H
PHILIPS 飛利浦,FAC09CB-Cb5KBA4H
快意寶,S1820-PAC
快意寶,S1220-PAC
快意寶,S920-PAC
AUX 奧克斯,ASW-12C8/CDR3
AUX 奧克斯,ASW-12C5/CAR3
AUX 奧克斯,ASW-09B6/CAR3
AUX 奧克斯,ASW-H18E4/CAR3
AUX 奧克斯,ASW-H09C5/CAR3
晶弘,KHCSIIC24A1/KHCSOIC24A1
晶弘,KHCSIIC18A1/KHCSOIC18A1
晶弘,KHCSIIC12A1/KHCSOIC12A1
晶弘,KHCSIIC09A1/KHCSOIC09A1
YORK 約克,YJJF24XETBFM-RX/YJJF24YE
YORK 約克,YJJF18XETBFM-RX/YJJF18YE
YORK 約克,YJJF12XETBFM-RX/YJJF12YE
YORK 約克,YJJF09XETBFM-RX/YJJF09YE
MITSUBISHI ELECTRIC 三菱電機,MSZ-AP71VG / MUZ-AP71VG
MITSUBISHI ELECTRIC 三菱電機,MSZ-AP60VG / MUZ-AP60VG
MITSUBISHI ELECTRIC 三菱電機,MSZ-AP50VG / MUZ-AP50VG
MITSUBISHI ELECTRIC 三菱電機,MSZ-AP35VG / MUZ-AP35VG
MITSUBISHI ELECTRIC 三菱電機,MSZ-AP25VG / MUZ-AP25VG
SHARP 聲寶,AH-XP18DMA/AU-X18DMA
SHARP 聲寶,AH-XP13DMA/AU-X13DMA
SHARP 聲寶,AH-XP10DMA/AU-X10DMA
Rasonic 樂信,RS-TS24R/RU-TS24R
Rasonic 樂信,RS-TS18R/RU-TS18R
Rasonic 樂信,RS-TS12R/RU-TS12R
Rasonic 樂信,RS-TS9R/RU-TS9R
TOSHIBA 東芝,RAS-B18B2KVG-HK
TOSHIBA 東芝,RAS-B24B2KCVG-HK
TOSHIBA 東芝,RAS-B18B2KCVG-HK
TOSHIBA 東芝,RAS-B10B2KCVG-HK
Panasonic 樂聲,CS-U18CWA/CU-U18CWA
Panasonic 樂聲,CS-U12CWA/CU-U12CWA
Panasonic 樂聲,CS-U9CWA/CU-U9CWA
Carrier 開利,42HAC18VWB/36HAC18VC
Carrier 開利,42HAC24VWB/36HAC24VC
Carrier 開利,42HAC12VWB/36HAC12VC
Carrier 開利,42HAC09VWB/36HAC09VC
Rasonic 樂信,RS-U18CW/RU-U18CW
Rasonic 樂信,RS-U12CW/RU-U12CW
Rasonic 樂信,RS-U9CW/RU-U9CW
TOSHIBA 東芝,RAS-B24B2KVG-HK
TOSHIBA 東芝,RAS-B22B2KVG-HK
海迅,HS024KBB
海迅,HS018KBB
海迅,HS012KBB
海迅,HS009KBB
FORTRESS 豐澤牌,FSAV12MI26
TOSHIBA 東芝,RAS-B22B2KCVG-HK
TOSHIBA 東芝,RAS-B13B2KCVG-HK
FORTRESS 豐澤牌,FSAV18MI26
FORTRESS 豐澤牌,FSAV09MI26
TOSHIBA 東芝,RAS-B13B2KVG-HK
TOSHIBA 東芝,RAS-B10B2KVG-HK
Gree 格力,GIMH12UZE/GIMH12UZC
Gree 格力,GIMH09UZE/GIMH09UZC
Gree 格力,GIMC12UZE/GIMC12UZC
Gree 格力,GIMC09UZE/GIMC09UZC
TOSHIBA 東芝,RAS-B24B2KVG(HK)
TOSHIBA 東芝,RAS-B22B2KVG(HK)
TOSHIBA 東芝,RAS-B13B2KVG(HK)
TOSHIBA 東芝,RAS-B22B2KCVG(HK)
TOSHIBA 東芝,RAS-B10B2KVG(HK)
TOSHIBA 東芝,RAS-B18B2KCVG(HK)
TOSHIBA 東芝,RAS-B24B2KCVG(HK)
TOSHIBA 東芝,RAS-B13B2KCVG(HK)
TOSHIBA 東芝,RAS-B10B2KCVG(HK)
TOSHIBA 東芝,RAS-B18B2KVG(HK)
Carrier 開利,42HAC24VW/36HAC24VC
Carrier 開利,42HAC24VF/36HAC24VC
Carrier 開利,42HAC18VW/36HAC18VC
Carrier 開利,42HAC18VF/36HAC18VC
Carrier 開利,42HAC12VW/36HAC12VC
Carrier 開利,42HAC12VF/36HAC12VC
MECAN,MC24PGI/MC24PGO
MECAN,MC18PGI/MC18PGO
MECAN,MC12PGI/MC12PGO
MECAN,MC09PGI/MC09PGO
Carrier 開利,42HAC09VW/36HAC09VC
Carrier 開利,42HAC09VF/36HAC09VC
General 珍寶,ASWX18KECA / AOWX18KETA
General 珍寶,ASWX12KECA / AOWX12KETA
General 珍寶,ASWX09KECA / AOWX09KETA
General 珍寶,ASWX18CECA / AOWX18CETA
General 珍寶,ASWX12CECA / AOWX12CETA
General 珍寶,ASWX09CECA / AOWX09CETA
HITACHI 日立,RAK-XH18HDK/RAC-XH18HDK
HITACHI 日立,RAK-XH12HDK/RAC-XH12HDK
HITACHI 日立,RAK-XH09HDK/RAC-XH09HDK
卓爾,SAC-S18K23V
卓爾,SAC-S12K23V
卓爾,SAC-S9K23V
卓爾,SAC-S18K20
卓爾,SAC-S12K20
卓爾,SAC-S9K20
MBO,MS-18VCMA-HK
MBO,MS-12VCMA-HK
MBO,MS-09VCMA-HK
TOSOT 大松,S24VC200N / S24VC200U
TOSOT 大松,S18VC200N / S18VC200U
TOSOT 大松,S12VC200N / S12VC200U
TOSOT 大松,S09VC200N / S09VC200U
TOSOT 大松,S24C5AN / S24C5AU
TOSOT 大松,S18C5AN / S18C5AU
TOSOT 大松,S12C5AN / S12C5AU
TOSOT 大松,S09C5AN / S09C5AU
McQUAY 麥克維爾,M3WMY25A/M3LCY25A
McQUAY 麥克維爾,M3WMY20A/M3LCY20A
McQUAY 麥克維爾,M3WMY15A/M3LCY15A
McQUAY 麥克維爾,M3WMY10A/M3LCY10A
Gree 格力,GIC24UZE/GIC24UZC
MITSUBISHI HEAVY 三菱重工,SRK24YYSH-WF/SRC24YYSH-W
MITSUBISHI HEAVY 三菱重工,SRK18YYSH-WF/SRC18YYSH-W
MITSUBISHI HEAVY 三菱重工,SRK13YYSH-WF/SRC13YYSH-W
MITSUBISHI HEAVY 三菱重工,SRK10YYSH-WF/SRC10YYSH-W
SHARP 聲寶,AH-X24CCA / AU-X24CCA
MITSUBISHI HEAVY 三菱重工,SRK25ZSH-WF/SRC25ZSH-W
Carrier 開利,42KHE024V8S/38KHE024V8S
Carrier 開利,42KHE018V8S/38KHE018V8S
MITSUBISHI ELECTRIC 三菱電機,MSY-JY18VF / MUY-JY18VF
MITSUBISHI HEAVY 三菱重工,SRK71ZRH-WF/SRC71ZRH-W
MITSUBISHI HEAVY 三菱重工,SRK63ZRH-WF/SRC63ZRH-W
MITSUBISHI HEAVY 三菱重工,SRK60ZSXH-WF/SRC60ZSXH-W
MITSUBISHI HEAVY 三菱重工,SRK50ZSXH-WF/SRC50ZSXH-W
MITSUBISHI HEAVY 三菱重工,SRK35ZSXH-WF/SRC35ZSXH-W
MITSUBISHI HEAVY 三菱重工,SRK25ZSXH-WF/SRC25ZSXH-W
Carrier 開利,42KHE012V8S/38KHE012V8S
SHARP 聲寶,AH-X18CCA / AU-X18CCA
SHARP 聲寶,AH-X12CCA / AU-X12CCA
SHARP 聲寶,AH-X9CCA / AU-X9CCA
Rasonic 樂信,RS-HZ18BW/RU-HZ18BW
Rasonic 樂信,RS-HZ12BW/RU-HZ12BW
Rasonic 樂信,RS-HZ9BW/RU-HZ9BW
MITSUBISHI ELECTRIC 三菱電機,MSY-JY24VF / MUY-JY24VF
MITSUBISHI ELECTRIC 三菱電機,MSY-JY09VF / MUY-JY09VF
MITSUBISHI ELECTRIC 三菱電機,MSY-JY12VF / MUY-JY12VF
Panasonic 樂聲,CS-HZ18BWA/CU-HZ18BWA
Panasonic 樂聲,CS-HZ12BWA/CU-HZ12BWA
Panasonic 樂聲,CS-HZ9BWA/CU-HZ9BWA
Rasonic 樂信,RS-VA24R / RU-VA24R
Rasonic 樂信,RS-VA18R / RU-VA18R
Rasonic 樂信,RS-VA12R / RU-VA12R
Rasonic 樂信,RS-VA9R / RU-VA9R
Carrier 開利,42KHE009V8S/38KHE009V8S
MITSUBISHI HEAVY 三菱重工,SRK50ZSH-WF/SRC50ZSH-W
MITSUBISHI HEAVY 三菱重工,SRK35ZSH-WF/SRC35ZSH-W
MITSUBISHI HEAVY 三菱重工,SRK20ZSH-WF/SRC20ZSH-W
Gree 格力,GIH24UZE/GIH24UZC
Gree 格力,GIH09UZE/GIH09UZC
Gree 格力,GIC18UZE/GIC18UZC
Gree 格力,GIC12UZE/GIC12UZC
Gree 格力,GIC09UZE/GIC09UZC
MECAN,MC12WMIP/MC12WMOP
Gree 格力,GIH18UZE/GIH18UZC
Gree 格力,GIH12UZE/GIH12UZC
Carrier 開利,42BKK024/38BKK024
MITSUBISHI HEAVY 三菱重工,SRK18YYPH-W/SRC18YYPH-W
MITSUBISHI HEAVY 三菱重工,SRK13YYPH-W/SRC13YYPH-W
MITSUBISHI HEAVY 三菱重工,SRK10YYPH-W/SRC10YYPH-W
MITSUBISHI HEAVY 三菱重工,SRK24YYMH-W/SRC24YYMH-W
MITSUBISHI HEAVY 三菱重工,SRK18YYMH-W/SRC18YYMH-W
MITSUBISHI HEAVY 三菱重工,SRK13YYMH-W/SRC13YYMH-W
MITSUBISHI HEAVY 三菱重工,SRK10YYMH-W/SRC10YYMH-W
Carrier 開利,42BKK018/38BKK018
Carrier 開利,42BKK012/38BKK012
Carrier 開利,42BKK009/38BKK009
DAIKIN 大金,FTXJ60MV1HB/RXJ60MV1H
MITSUBISHI HEAVY 三菱重工,SRK71ZTLH-WF/SRC71ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK63ZTLH-WF/SRC63ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK50ZTLH-WF/SRC50ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK35ZTLH-WF/SRC35ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK25ZTLH-WF/SRC25ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK20ZTLH-WF/SRC20ZTLH-W
MITSUBISHI HEAVY 三菱重工,SRK15ZTLH-WF/SRC15ZTLH-W
Carrier 開利,42BKK24/38BKK24
Carrier 開利,42BKK18/38BKK18
Carrier 開利,42BKK12/38BKK12
Carrier 開利,42BKK09/38BKK09
DAIKIN 大金,FTXJ60MV1HW/RXJ60MV1H
Gree 格力,GCC63ZE/GCC63ZC
Gree 格力,GCC53ZE/GCC53ZC
Gree 格力,GCC35ZE/GCC35ZC
Gree 格力,GCC26ZE/GCC26ZC
Gree 格力,GSC24UZE/GSC24UZC
Gree 格力,GSC18UZE/GSC18UZC
Gree 格力,GSC12UZE/GSC12UZC
Gree 格力,GSC09UZE/GSC09UZC
MITSUBISHI HEAVY 三菱重工,SRK20ZSXH-WF/SRC20ZSXH-W
Morita Denko,NMDSA24CRF8B
Morita Denko,NMDSA18CRF8B
Morita Denko,NMDSA12CRF8B
Morita Denko,NMDSA09CRF8B
COMFEE,CFS-25VGPF
COMFEE,CFS-13VGPF
COMFEE,CFS-10VGPF
MECAN,MC24WMI/MC24WMO
COMFEE,CAA-10CFN8-AC6
CANOPUS 肯特,TA-09RV/TA-09RAV
CANOPUS 肯特,TA-18RV/TA-18RAV
CANOPUS 肯特,TA-12RV/TA-12RAV
CANOPUS 肯特,TA-22RV/TA-22RAV
COMFEE,CAC-18CFN8-AC1
COMFEE,CAA-12CFN8-AC4
MECAN,MC18WMI/MC18WMO
MECAN,MC09WMI/MC09WMO
MECAN,MC12WMI/MC12WMO
General 珍寶,ASWG24KNTA / AOWG24KNTA
General 珍寶,ASWG18KNTA / AOWG18KNTA
Midea 美的,MS-12CRF8F2
General 珍寶,ASWH12KNCA / AOWH12KNCA
General 珍寶,ASWH09KNCA / AOWH09KNCA
Midea 美的,MS-24CRF8F2
Midea 美的,MS-18CRF8F2
Midea 美的,MS-09CRF8F2
Midea 美的,MS-24CRF8F
Midea 美的,MS-18CRF8F
Midea 美的,MS-12CRF8F
Midea 美的,MS-09CRF8F
SAMSUNG 三星,AR70F24CACWNSH
SAMSUNG 三星,AR70F18CACWNSH
SAMSUNG 三星,AR70F12CACWNSH
SAMSUNG 三星,AR70F09CACWNSH
SAMSUNG 三星,AR60F24D1BWNSH
SAMSUNG 三星,AR60F18D1BWNSH
SAMSUNG 三星,AR60F12D1BWNSH
SAMSUNG 三星,AR60F09D1BWNSH
Carrier 開利,42KLF022V8S/38KLF022V8S
MITSUBISHI HEAVY 三菱重工,SRK53MUVPH1/SRC53MUVPH1
MITSUBISHI HEAVY 三菱重工,SRK35MUVPH1/SRC35MUVPH1
MITSUBISHI HEAVY 三菱重工,SRK25MUVPH1/SRC25MUVPH1
MITSUBISHI HEAVY 三菱重工,SRK53MHIPH1/SRC53MHIPH1
MITSUBISHI HEAVY 三菱重工,SRK35MHIPH1/SRC35MHIPH1
MITSUBISHI HEAVY 三菱重工,SRK25MHIPH1/SRC25MHIPH1
MITSUBISHI HEAVY 三菱重工,SRK53MMH1/SRC53MMH1
MITSUBISHI HEAVY 三菱重工,SRK35MMH1/SRC35MMH1
MITSUBISHI HEAVY 三菱重工,SRK25MMH1/SRC25MMH1
Carrier 開利,42KAF012V8S /38KAF012V8S
海迅,HS024KB/HS024KBA
海迅,HS018KB/HS018KBA
海迅,HS012KB/HS012KBA
海迅,HS009KB/HS009KBA
Carrier 開利,42KLF018V8S/38KLF018V8S
Carrier 開利,42KLF012V8S/38KLF012V8S
Carrier 開利,42KLF009V8S/38KLF009V8S
Panasonic 樂聲,CS-RZ28BKA / CU-RZ28BKA
MITSUBISHI HEAVY 三菱重工,SRK60ZSX-WF/SRC60ZSXH-S
Carrier 開利,42KAF022V8S /38KAF022V8S
Carrier 開利,42KAF018V8S /38KAF018V8S
Panasonic 樂聲,CS-YU24BKA / CU-YU24BKA
Panasonic 樂聲,CS-YU18BKA / CU-YU18BKA
Panasonic 樂聲,CS-YU12BKA / CU-YU12BKA
Panasonic 樂聲,CS-YU9BKA / CU-YU9BKA
Panasonic 樂聲,CS-RU24BKA / CU-RU24BKA
Panasonic 樂聲,CS-RU12BKA / CU-RU12BKA
MITSUBISHI HEAVY 三菱重工,SRK53DDH1/SRC53DDH1
MITSUBISHI HEAVY 三菱重工,SRK35DDH1/SRC35DDH1
MITSUBISHI HEAVY 三菱重工,SRK25DDH1/SRC25DDH1
MITSUBISHI HEAVY 三菱重工,SRK53QEH1/SRC53QEH1
MITSUBISHI HEAVY 三菱重工,SRK35QEH1/SRC35QEH1
MITSUBISHI HEAVY 三菱重工,SRK25QEH1/SRC25QEH1
Panasonic 樂聲,CS-RU18BKA / CU-RU18BKA
Panasonic 樂聲,CS-RU9BKA / CU-RU9BKA
Panasonic 樂聲,CS-RZ24BKA / CU-RZ24BKA
Panasonic 樂聲,CS-RZ18BKA / CU-RZ18BKA
Panasonic 樂聲,CS-RZ12BKA / CU-RZ12BKA
Panasonic 樂聲,CS-RZ9BKA / CU-RZ9BKA
Rasonic 樂信,RS-YU24BK / RU-YU24BK
Rasonic 樂信,RS-YU18BK / RU-YU18BK
Rasonic 樂信,RS-YU12BK / RU-YU12BK
Rasonic 樂信,RS-YU9BK / RU-YU9BK
Rasonic 樂信,RS-RZ24BK / RU-RZ24BK
Rasonic 樂信,RS-RZ18BK / RU-RZ18BK
Rasonic 樂信,RS-RZ12BK / RU-RZ12BK
Rasonic 樂信,RS-RZ9BK / RU-RZ9BK
HITACHI 日立,RAK-DJ18CBK/RAC-DJ18CBK
HITACHI 日立,RAK-DJ13CBK/RAC-DJ13CBK
HITACHI 日立,RAK-DJ10CBK/RAC-DJ10CBK
Carrier 開利,42KAF009V8S/38KAF009V8S
HITACHI 日立,RAK-DJ13HBK/RAC-DJ13HBK
HITACHI 日立,RAK-DJ18HBK/RAC-DJ18HBK
HITACHI 日立,RAK-GJ24HBK/RAC-GJ24HBK
HITACHI 日立,RAK-DJ10HBK/RAC-DJ10HBK
HITACHI 日立,RAK-CJ24CAK/RAC-CJ24CAK
HITACHI 日立,RAK-CJ18CAK/RAC-CJ18CAK
HITACHI 日立,RAK-CJ13CAK/RAC-CJ13CAK
HITACHI 日立,RAK-CJ10CAK/RAC-CJ10CAK
HITACHI 日立,RAK-CH18CAK/RAC-CH18CAK
HITACHI 日立,RAK-CH13CAK/RAC-CH13CAK
HITACHI 日立,RAK-CH10CAK/RAC-CH10CAK
LG,HS-24IPX
DAIKIN 大金,FTKP71MV1H/RKP71MV1H
DAIKIN 大金,FTKP60MV1H/RKP60MV1H
DAIKIN 大金,FTKP50MV1H/RKP50MV1H
DAIKIN 大金,FTKP35MV1H/RKP35MV1H
DAIKIN 大金,FTKP25MV1H/RKP25MV1H
Midea 美的,MS-12CRF8E
Midea 美的,MS-09CRF8E
Midea 美的,MS-24HRF8E
Midea 美的,MS-18HRF8E
Midea 美的,MS-12HRF8E
Midea 美的,MS-09HRF8E
CANOPUS 肯特,TA-KWS18DA/TA-KWS18DAV
DAIKIN 大金,FTXP71MV1H/RXP71MV1H
DAIKIN 大金,FTXP60MV1H/RXP60MV1H
DAIKIN 大金,FTXP50MV1H/RXP50MV1H
DAIKIN 大金,FTXP35MV1H/RXP35MV1H
DAIKIN 大金,FTXP25MV1H/RXP25MV1H
Carrier 開利,42QWS18VS/38QWS18VS
Carrier 開利,42KWS18VS/38KWS18VS
CANOPUS 肯特,TA-KWS12DA/TA-KWS12DAV
CANOPUS 肯特,TA-KWS09DA/TA-KWS09DAV
MITSUBISHI HEAVY 三菱重工,SRK53MHIPC1/SRC53MHIPC1
MITSUBISHI HEAVY 三菱重工,SRK35MHIPC1/SRC35MHIPC1
MITSUBISHI HEAVY 三菱重工,SRK25MHIPC1/SRC25MHIPC1
